km,km_corredor,lat,lon,z_m,S_pct,n_manning,R_m,V_mps,V_kmh,h_pico_m,h_hand_m,hora,hora_iso,min_desde_sismo,aviso_sms_min,aviso_auto_min,aviso_real_min,aviso_potencial_min,minutos_perdidos
0.0,-19.0,28.28508,85.51282,3946.9,28.26,None,None,18.63,67.1,80.0,0.0,08:37,2026-08-26T08:37:00,0.0,-39.0,-1.0,0.0,0.0,0.0
1.0,-18.0,28.293151,85.508315,3664.3,10.436,None,None,18.63,67.1,80.8,0.0,08:37,2026-08-26T08:37:53.700000,0.9,-38.1,-0.1,0.0,0.0,0.0
2.0,-17.0,28.301222,85.50381,3560.0,12.449,None,None,18.63,67.1,81.7,0.0,08:38,2026-08-26T08:38:47.400000,1.8,-37.2,0.8,0.0,0.8,0.8
3.0,-16.0,28.308812,85.498477,3435.5,8.324,None,None,18.63,67.1,82.5,0.0,08:39,2026-08-26T08:39:41.100000,2.7,-36.3,1.7,0.0,1.7,1.7
4.0,-15.0,28.315631,85.491816,3352.2,25.081,None,None,18.63,67.1,83.3,0.0,08:40,2026-08-26T08:40:34.800000,3.6,-35.4,2.6,0.0,2.6,2.6
5.0,-14.0,28.32245,85.485155,3101.4,1.286,None,None,18.63,67.1,84.1,0.0,08:41,2026-08-26T08:41:28.500000,4.5,-34.5,3.5,0.0,3.5,3.5
6.0,-13.0,28.329268,85.478494,3088.5,33.043,None,None,18.63,67.1,85.0,0.0,08:42,2026-08-26T08:42:22.200000,5.4,-33.6,4.4,0.0,4.4,4.4
7.0,-12.0,28.333264,85.470502,2758.1,0.01,None,None,18.63,67.1,85.8,0.0,08:43,2026-08-26T08:43:15.900000,6.3,-32.7,5.3,0.0,5.3,5.3
8.0,-11.0,28.332601,85.460312,2760.9,13.628,None,None,18.63,67.1,86.6,0.0,08:44,2026-08-26T08:44:09.600000,7.2,-31.8,6.2,0.0,6.2,6.2
9.0,-10.0,28.331938,85.450123,2624.6,0.01,None,None,18.63,67.1,87.4,0.0,08:45,2026-08-26T08:45:03.300000,8.1,-30.9,7.1,0.0,7.1,7.1
10.0,-9.0,28.331275,85.439934,2624.6,36.016,None,None,18.63,67.1,88.3,0.0,08:45,2026-08-26T08:45:57,8.9,-30.1,8.0,0.0,8.0,8.0
11.0,-8.0,28.330613,85.429744,2264.5,0.01,None,None,18.63,67.1,89.1,0.0,08:46,2026-08-26T08:46:50.700000,9.8,-29.2,8.8,0.0,8.8,8.8
12.0,-7.0,28.323979,85.423145,2274.0,0.01,None,None,18.63,67.1,89.9,0.0,08:47,2026-08-26T08:47:44.400000,10.7,-28.3,9.7,0.0,9.7,9.7
13.0,-6.0,28.316937,85.416792,2274.0,15.098,None,None,18.63,67.1,90.7,0.0,08:48,2026-08-26T08:48:38.100000,11.6,-27.4,10.6,0.0,10.6,10.6
14.0,-5.0,28.309894,85.410439,2123.1,6.279,None,None,18.63,67.1,91.6,0.0,08:49,2026-08-26T08:49:31.800000,12.5,-26.5,11.5,0.0,11.5,11.5
